"PU EIC Code","PU Name","Valid From","Valid To","PU Status","PU Type","PU Location","PU Installed
Capacity","Control Area","Bidding Zone","Last Update","PU Voltage","GU Code","GU Name","GU Status","GU Type","GU Location","GU Installed Capacity"
"14W-PROD-SIM---P","KW Simmering","31.10.2020","Infinity","COMMISSIONED","B04","intra_zonal","1349.20","10YAT-APG------L","10YAT-APG------L","30.10.2020","380.00","14WGEN-SIM3DT--0","Sim3_DT","COMMISSIONED","B04","intra_zonal","340.00"
"14W-PROD-SIM---P","KW Simmering","31.10.2020","Infinity","COMMISSIONED","B04","intra_zonal","1349.20","10YAT-APG------L","10YAT-APG------L","30.10.2020","380.00","14W-GEN-SIMBIO-J","Sim Bio","DECOMMISSIONED","B04","intra_zonal","24.20"
"14W-PROD-SIM---P","KW Simmering","31.10.2020","Infinity","COMMISSIONED","B04","intra_zonal","1349.20","10YAT-APG------L","10YAT-APG------L","30.10.2020","380.00","14W-GEN-SIM1---Z","Sim1","DECOMMISSIONED","B04","intra_zonal","840.00"
"14W-PROD-SIM---P","KW Simmering","31.10.2020","Infinity","COMMISSIONED","B04","intra_zonal","1349.20","10YAT-APG------L","10YAT-APG------L","30.10.2020","380.00","14WGEN-SIM1DT--C","Sim1_DT","COMMISSIONED","B04","intra_zonal","250.00"
"14W-PROD-SIM---P","KW Simmering","31.10.2020","Infinity","COMMISSIONED","B04","intra_zonal","1349.20","10YAT-APG------L","10YAT-APG------L","30.10.2020","380.00","14WGEN-SIM1GT42D","Sim1_GT42","COMMISSIONED","B04","intra_zonal","295.00"
"14W-PROD-SIM---P","KW Simmering","31.10.2020","Infinity","COMMISSIONED","B04","intra_zonal","1349.20","10YAT-APG------L","10YAT-APG------L","30.10.2020","380.00","14WGEN-SIM1GT41F","Sim1_GT41","COMMISSIONED","B04","intra_zonal","295.00"
"14W-DRP-KW-----M","Reisseck 2","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","430.00","10YAT-APG------L","10YAT-APG------L","","380.00","14W-DRP-TU-----1","Reisseck 2","COMMISSIONED","B10","intra_zonal","430.00"
"14W-E110352----K","Kraftwerk Feldsee","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","140.00","10YAT-APG------L","10YAT-APG------L","","110.00","","","","","",""
"14WENERGIEAGWR05","Kraftwerk Riedersbach 2","01.10.2018","Infinity","COMMISSIONED","B05","intra_zonal","150.00","10YAT-APG------L","10YAT-APG------L","","110.00","14WENERGIEAGWR21","KW Riedersbach 2 G2","COMMISSIONED","B05","intra_zonal","150.00"
"14W-TZMA-KW----N","Mayrhofen","01.10.2018","Infinity","COMMISSIONED","B12","intra_zonal","355.00","10YAT-APG------L","10YAT-APG------L","","380.00","14W-TZM-TU-----A","Mayrhofen","COMMISSIONED","B12","intra_zonal","355.00"
"14W-TZH-KW-----7","Häusling","01.10.2018","Infinity","COMMISSIONED","B10","intra_zonal","360.00","10YAT-APG------L","10YAT-APG------L","","380.00","14W-TZH-TU-----N","Häusling","COMMISSIONED","B10","intra_zonal","360.00"
"14W-BME-KW-----Q","Melk","01.10.2018","Infinity","COMMISSIONED","B11","intra_zonal","187.00","10YAT-APG------L","10YAT-APG------L","","110.00","14W-BME-TU-----5","Melk","COMMISSIONED","B11","intra_zonal","187.00"
"14W-BGS-KW-----Q","Greifenstein","01.10.2018","Infinity","COMMISSIONED","B11","intra_zonal","293.00","10YAT-APG------L","10YAT-APG------L","","380.00","14W-BGS-TU-----5","Greifenstein","COMMISSIONED","B11","intra_zonal","293.00"
